Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
T1,Chrome 70.0.3538.110,,2018-11-29 13:39:07,2018-11-29 13:39:41,34.182s,ERROR
,,,,,,
Test Cases/Search course,Chrome 70.0.3538.110,To test user will successfully search for an item on Github,2018-11-29 13:39:07,2018-11-29 13:39:25,18.015s,ERROR
openBrowser,Chrome 70.0.3538.110,,2018-11-29 13:39:08,2018-11-29 13:39:12,4.205s,PASSED
navigateToUrl,Chrome 70.0.3538.110,,2018-11-29 13:39:12,2018-11-29 13:39:20,8.026s,PASSED
click,Chrome 70.0.3538.110,,2018-11-29 13:39:20,2018-11-29 13:39:22,1.266s,PASSED
setText,Chrome 70.0.3538.110,,2018-11-29 13:39:22,2018-11-29 13:39:22,0.262s,PASSED
setEncryptedText,Chrome 70.0.3538.110,,2018-11-29 13:39:22,2018-11-29 13:39:22,0.244s,PASSED
click,Chrome 70.0.3538.110,,2018-11-29 13:39:22,2018-11-29 13:39:23,0.880s,PASSED
setEncryptedText,Chrome 70.0.3538.110,,2018-11-29 13:39:23,2018-11-29 13:39:23,0.142s,PASSED
click,Chrome 70.0.3538.110,,2018-11-29 13:39:23,2018-11-29 13:39:25,1.980s,PASSED
setText,Chrome 70.0.3538.110,,2018-11-29 13:39:25,2018-11-29 13:39:25,0.166s,PASSED
sendKeys,Chrome 70.0.3538.110,,2018-11-29 13:39:25,2018-11-29 13:39:25,0.011s,PASSED
,,,,,,
Test Cases/To test user will successfully login to application,Chrome 70.0.3538.110,,2018-11-29 13:39:25,2018-11-29 13:39:41,15.618s,PASSED
openBrowser,Chrome 70.0.3538.110,,2018-11-29 13:39:26,2018-11-29 13:39:29,2.889s,PASSED
navigateToUrl,Chrome 70.0.3538.110,,2018-11-29 13:39:29,2018-11-29 13:39:35,6.207s,PASSED
click,Chrome 70.0.3538.110,,2018-11-29 13:39:35,2018-11-29 13:39:36,1.271s,PASSED
setText,Chrome 70.0.3538.110,,2018-11-29 13:39:36,2018-11-29 13:39:36,0.144s,PASSED
setEncryptedText,Chrome 70.0.3538.110,,2018-11-29 13:39:36,2018-11-29 13:39:36,0.132s,PASSED
click,Chrome 70.0.3538.110,,2018-11-29 13:39:36,2018-11-29 13:39:38,1.913s,PASSED
click,Chrome 70.0.3538.110,,2018-11-29 13:39:38,2018-11-29 13:39:38,0.100s,PASSED
click,Chrome 70.0.3538.110,,2018-11-29 13:39:38,2018-11-29 13:39:40,1.743s,PASSED
closeBrowser,Chrome 70.0.3538.110,,2018-11-29 13:39:40,2018-11-29 13:39:41,0.813s,PASSED
