Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
T1,Chrome 70.0.3538.110,,2018-11-29 13:42:01,2018-11-29 13:42:36,35.727s,ERROR
,,,,,,
Test Cases/Search course,Chrome 70.0.3538.110,To test user will successfully search for an item on Github,2018-11-29 13:42:01,2018-11-29 13:42:21,19.663s,ERROR
openBrowser,Chrome 70.0.3538.110,,2018-11-29 13:42:02,2018-11-29 13:42:06,4.065s,PASSED
navigateToUrl,Chrome 70.0.3538.110,,2018-11-29 13:42:06,2018-11-29 13:42:16,9.913s,PASSED
click,Chrome 70.0.3538.110,,2018-11-29 13:42:16,2018-11-29 13:42:17,1.219s,PASSED
setText,Chrome 70.0.3538.110,,2018-11-29 13:42:17,2018-11-29 13:42:17,0.244s,PASSED
setEncryptedText,Chrome 70.0.3538.110,,2018-11-29 13:42:17,2018-11-29 13:42:18,0.234s,PASSED
click,Chrome 70.0.3538.110,,2018-11-29 13:42:18,2018-11-29 13:42:19,0.908s,PASSED
setEncryptedText,Chrome 70.0.3538.110,,2018-11-29 13:42:19,2018-11-29 13:42:19,0.136s,PASSED
click,Chrome 70.0.3538.110,,2018-11-29 13:42:19,2018-11-29 13:42:21,2.038s,PASSED
setText,Chrome 70.0.3538.110,,2018-11-29 13:42:21,2018-11-29 13:42:21,0.161s,PASSED
sendKeys,Chrome 70.0.3538.110,,2018-11-29 13:42:21,2018-11-29 13:42:21,0.011s,PASSED
,,,,,,
Test Cases/To test user will successfully login to application,Chrome 70.0.3538.110,,2018-11-29 13:42:21,2018-11-29 13:42:36,15.355s,PASSED
openBrowser,Chrome 70.0.3538.110,,2018-11-29 13:42:21,2018-11-29 13:42:24,3.001s,PASSED
navigateToUrl,Chrome 70.0.3538.110,,2018-11-29 13:42:24,2018-11-29 13:42:30,5.950s,PASSED
click,Chrome 70.0.3538.110,,2018-11-29 13:42:30,2018-11-29 13:42:31,1.075s,PASSED
setText,Chrome 70.0.3538.110,,2018-11-29 13:42:31,2018-11-29 13:42:31,0.157s,PASSED
setEncryptedText,Chrome 70.0.3538.110,,2018-11-29 13:42:31,2018-11-29 13:42:32,0.145s,PASSED
click,Chrome 70.0.3538.110,,2018-11-29 13:42:32,2018-11-29 13:42:34,2.031s,PASSED
click,Chrome 70.0.3538.110,,2018-11-29 13:42:34,2018-11-29 13:42:34,0.097s,PASSED
click,Chrome 70.0.3538.110,,2018-11-29 13:42:34,2018-11-29 13:42:35,1.750s,PASSED
closeBrowser,Chrome 70.0.3538.110,,2018-11-29 13:42:35,2018-11-29 13:42:36,0.792s,PASSED
