Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
T1,Chrome 70.0.3538.110,,2018-11-29 13:32:36,2018-11-29 13:32:58,22.146s,ERROR
,,,,,,
Test Cases/Search course,Chrome 70.0.3538.110,To test user will successfully search for an item on Github,2018-11-29 13:32:36,2018-11-29 13:32:57,20.866s,ERROR
openBrowser,Chrome 70.0.3538.110,,2018-11-29 13:32:37,2018-11-29 13:32:40,3.509s,PASSED
navigateToUrl,Chrome 70.0.3538.110,,2018-11-29 13:32:40,2018-11-29 13:32:52,11.846s,PASSED
click,Chrome 70.0.3538.110,,2018-11-29 13:32:52,2018-11-29 13:32:53,1.014s,PASSED
setText,Chrome 70.0.3538.110,,2018-11-29 13:32:53,2018-11-29 13:32:53,0.183s,PASSED
setEncryptedText,Chrome 70.0.3538.110,,2018-11-29 13:32:53,2018-11-29 13:32:53,0.260s,PASSED
click,Chrome 70.0.3538.110,,2018-11-29 13:32:53,2018-11-29 13:32:54,0.898s,PASSED
setEncryptedText,Chrome 70.0.3538.110,,2018-11-29 13:32:54,2018-11-29 13:32:54,0.138s,PASSED
click,Chrome 70.0.3538.110,,2018-11-29 13:32:54,2018-11-29 13:32:57,2.376s,PASSED
setText,Chrome 70.0.3538.110,,2018-11-29 13:32:57,2018-11-29 13:32:57,0.155s,PASSED
sendKeys,Chrome 70.0.3538.110,,2018-11-29 13:32:57,2018-11-29 13:32:57,0.012s,PASSED
