Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
T1,Chrome 70.0.3538.102,,2018-11-27 19:42:37,2018-11-27 19:43:22,45.400s,ERROR
,,,,,,
Test Cases/Search course,Chrome 70.0.3538.102,To test user will successfully search for an item on Github,2018-11-27 19:42:37,2018-11-27 19:42:58,20.325s,ERROR
openBrowser,Chrome 70.0.3538.102,,2018-11-27 19:42:38,2018-11-27 19:42:42,4.101s,PASSED
navigateToUrl,Chrome 70.0.3538.102,,2018-11-27 19:42:42,2018-11-27 19:42:52,10.080s,PASSED
click,Chrome 70.0.3538.102,,2018-11-27 19:42:52,2018-11-27 19:42:53,1.155s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-27 19:42:53,2018-11-27 19:42:53,0.340s,PASSED
setEncryptedText,Chrome 70.0.3538.102,,2018-11-27 19:42:53,2018-11-27 19:42:54,0.332s,PASSED
click,Chrome 70.0.3538.102,,2018-11-27 19:42:54,2018-11-27 19:42:55,1.194s,PASSED
setEncryptedText,Chrome 70.0.3538.102,,2018-11-27 19:42:55,2018-11-27 19:42:55,0.168s,PASSED
click,Chrome 70.0.3538.102,,2018-11-27 19:42:55,2018-11-27 19:42:57,2.092s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-27 19:42:57,2018-11-27 19:42:58,0.299s,PASSED
sendKeys,Chrome 70.0.3538.102,,2018-11-27 19:42:58,2018-11-27 19:42:58,0.011s,PASSED
,,,,,,
Test Cases/To test user will successfully login to application,Chrome 70.0.3538.102,,2018-11-27 19:42:58,2018-11-27 19:43:22,24.323s,PASSED
openBrowser,Chrome 70.0.3538.102,,2018-11-27 19:42:58,2018-11-27 19:43:02,3.751s,PASSED
navigateToUrl,Chrome 70.0.3538.102,,2018-11-27 19:43:02,2018-11-27 19:43:14,11.927s,PASSED
click,Chrome 70.0.3538.102,,2018-11-27 19:43:14,2018-11-27 19:43:15,1.580s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-27 19:43:15,2018-11-27 19:43:16,0.226s,PASSED
setEncryptedText,Chrome 70.0.3538.102,,2018-11-27 19:43:16,2018-11-27 19:43:16,0.208s,PASSED
click,Chrome 70.0.3538.102,,2018-11-27 19:43:16,2018-11-27 19:43:19,2.816s,PASSED
click,Chrome 70.0.3538.102,,2018-11-27 19:43:19,2018-11-27 19:43:19,0.182s,PASSED
click,Chrome 70.0.3538.102,,2018-11-27 19:43:19,2018-11-27 19:43:21,2.388s,PASSED
closeBrowser,Chrome 70.0.3538.102,,2018-11-27 19:43:21,2018-11-27 19:43:22,0.783s,PASSED
