Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
T1,Chrome 70.0.3538.110,,2018-11-29 13:09:16,2018-11-29 13:09:31,15.780s,ERROR
,,,,,,
Test Cases/Search course,Chrome 70.0.3538.110,To test user will successfully search for an item on Github,2018-11-29 13:09:16,2018-11-29 13:09:31,14.588s,ERROR
openBrowser,Chrome 70.0.3538.110,,2018-11-29 13:09:17,2018-11-29 13:09:20,3.231s,PASSED
navigateToUrl,Chrome 70.0.3538.110,,2018-11-29 13:09:20,2018-11-29 13:09:26,6.249s,PASSED
click,Chrome 70.0.3538.110,,2018-11-29 13:09:26,2018-11-29 13:09:27,1.307s,PASSED
setText,Chrome 70.0.3538.110,,2018-11-29 13:09:27,2018-11-29 13:09:28,0.176s,PASSED
setEncryptedText,Chrome 70.0.3538.110,,2018-11-29 13:09:28,2018-11-29 13:09:28,0.224s,PASSED
click,Chrome 70.0.3538.110,,2018-11-29 13:09:28,2018-11-29 13:09:29,0.933s,PASSED
setEncryptedText,Chrome 70.0.3538.110,,2018-11-29 13:09:29,2018-11-29 13:09:29,0.122s,PASSED
click,Chrome 70.0.3538.110,,2018-11-29 13:09:29,2018-11-29 13:09:30,1.682s,PASSED
setText,Chrome 70.0.3538.110,,2018-11-29 13:09:30,2018-11-29 13:09:31,0.151s,PASSED
sendKeys,Chrome 70.0.3538.110,,2018-11-29 13:09:31,2018-11-29 13:09:31,0.009s,PASSED
