Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
T1,Chrome 70.0.3538.110,,2018-11-29 13:08:57,2018-11-29 13:09:14,16.245s,ERROR
,,,,,,
Test Cases/Search course,Chrome 70.0.3538.110,To test user will successfully search for an item on Github,2018-11-29 13:08:58,2018-11-29 13:09:13,15.053s,ERROR
openBrowser,Chrome 70.0.3538.110,,2018-11-29 13:08:58,2018-11-29 13:09:02,3.489s,PASSED
navigateToUrl,Chrome 70.0.3538.110,,2018-11-29 13:09:02,2018-11-29 13:09:08,6.196s,PASSED
click,Chrome 70.0.3538.110,,2018-11-29 13:09:08,2018-11-29 13:09:09,1.088s,PASSED
setText,Chrome 70.0.3538.110,,2018-11-29 13:09:09,2018-11-29 13:09:09,0.168s,PASSED
setEncryptedText,Chrome 70.0.3538.110,,2018-11-29 13:09:09,2018-11-29 13:09:09,0.219s,PASSED
click,Chrome 70.0.3538.110,,2018-11-29 13:09:09,2018-11-29 13:09:10,0.829s,PASSED
setEncryptedText,Chrome 70.0.3538.110,,2018-11-29 13:09:10,2018-11-29 13:09:10,0.131s,PASSED
click,Chrome 70.0.3538.110,,2018-11-29 13:09:10,2018-11-29 13:09:13,2.277s,PASSED
setText,Chrome 70.0.3538.110,,2018-11-29 13:09:13,2018-11-29 13:09:13,0.151s,PASSED
sendKeys,Chrome 70.0.3538.110,,2018-11-29 13:09:13,2018-11-29 13:09:13,0.009s,PASSED
