Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
T1,Chrome 70.0.3538.110,,2018-11-29 13:32:22,2018-11-29 13:32:33,11.476s,FAILED
,,,,,,
Test Cases/Search course,Chrome 70.0.3538.110,To test user will successfully search for an item on Github,2018-11-29 13:32:22,2018-11-29 13:32:32,10.132s,FAILED
openBrowser,Chrome 70.0.3538.110,,2018-11-29 13:32:23,2018-11-29 13:32:26,3.349s,PASSED
navigateToUrl,Chrome 70.0.3538.110,,2018-11-29 13:32:26,2018-11-29 13:32:31,5.445s,PASSED
click,Chrome 70.0.3538.110,,2018-11-29 13:32:31,2018-11-29 13:32:32,0.846s,FAILED
