Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
T1,,,2018-11-29 12:40:22,2018-11-29 12:41:06,43.929s,FAILED
,,,,,,
Test Cases/Search course,,To test user will successfully search for an item on Github,2018-11-29 12:40:23,2018-11-29 12:40:46,22.750s,FAILED
openBrowser,,,2018-11-29 12:40:24,2018-11-29 12:40:46,21.939s,FAILED
,,,,,,
Test Cases/To test user will successfully login to application,,,2018-11-29 12:40:46,2018-11-29 12:41:06,20.301s,FAILED
openBrowser,,,2018-11-29 12:40:46,2018-11-29 12:41:06,20.022s,FAILED
