Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
T1,Chrome 70.0.3538.110,,2018-11-29 13:31:49,2018-11-29 13:32:19,30.729s,ERROR
,,,,,,
Test Cases/Search course,Chrome 70.0.3538.110,To test user will successfully search for an item on Github,2018-11-29 13:31:49,2018-11-29 13:32:04,15.181s,ERROR
openBrowser,Chrome 70.0.3538.110,,2018-11-29 13:31:50,2018-11-29 13:31:54,4.106s,PASSED
navigateToUrl,Chrome 70.0.3538.110,,2018-11-29 13:31:54,2018-11-29 13:32:00,6.097s,PASSED
click,Chrome 70.0.3538.110,,2018-11-29 13:32:00,2018-11-29 13:32:01,1.059s,PASSED
setText,Chrome 70.0.3538.110,,2018-11-29 13:32:01,2018-11-29 13:32:01,0.183s,PASSED
setEncryptedText,Chrome 70.0.3538.110,,2018-11-29 13:32:01,2018-11-29 13:32:01,0.252s,PASSED
click,Chrome 70.0.3538.110,,2018-11-29 13:32:01,2018-11-29 13:32:02,0.849s,PASSED
setEncryptedText,Chrome 70.0.3538.110,,2018-11-29 13:32:02,2018-11-29 13:32:02,0.136s,PASSED
click,Chrome 70.0.3538.110,,2018-11-29 13:32:02,2018-11-29 13:32:04,1.747s,PASSED
setText,Chrome 70.0.3538.110,,2018-11-29 13:32:04,2018-11-29 13:32:04,0.194s,PASSED
sendKeys,Chrome 70.0.3538.110,,2018-11-29 13:32:04,2018-11-29 13:32:04,0.009s,PASSED
,,,,,,
Test Cases/To test user will successfully login to application,Chrome 70.0.3538.110,,2018-11-29 13:32:04,2018-11-29 13:32:19,14.978s,PASSED
openBrowser,Chrome 70.0.3538.110,,2018-11-29 13:32:05,2018-11-29 13:32:08,3.075s,PASSED
navigateToUrl,Chrome 70.0.3538.110,,2018-11-29 13:32:08,2018-11-29 13:32:13,5.337s,PASSED
click,Chrome 70.0.3538.110,,2018-11-29 13:32:13,2018-11-29 13:32:14,1.180s,PASSED
setText,Chrome 70.0.3538.110,,2018-11-29 13:32:14,2018-11-29 13:32:14,0.146s,PASSED
setEncryptedText,Chrome 70.0.3538.110,,2018-11-29 13:32:14,2018-11-29 13:32:15,0.140s,PASSED
click,Chrome 70.0.3538.110,,2018-11-29 13:32:15,2018-11-29 13:32:16,1.907s,PASSED
click,Chrome 70.0.3538.110,,2018-11-29 13:32:16,2018-11-29 13:32:17,0.123s,PASSED
click,Chrome 70.0.3538.110,,2018-11-29 13:32:17,2018-11-29 13:32:18,1.933s,PASSED
closeBrowser,Chrome 70.0.3538.110,,2018-11-29 13:32:18,2018-11-29 13:32:19,0.816s,PASSED
